Pack Amperage (Current),Summed Pack Voltage
0.5,105.37
0.5,105.38
0.5,105.37
0.5,105.38
0.5,105.38
0.5,105.38
0.5,105.38
0.5,105.38
0.5,105.37
0.5,105.38
0.5,105.36
0.8,105.35
1.1,105.29
1.6,105.24
1.5,105.24
1.8,105.23
1.7,105.21
2,105.18
3.4,105.01
3.9,104.9
3.1,104.99
2.6,105.1
3.6,105.02
6.7,104.59
6.1,104.64
7.2,104.54
7.2,104.53
5.4,104.71
4.5,104.85
3.6,105
2.8,105.05
2.2,105.1
0.6,105.37
-0.7,105.53
0,105.46
2,105.17
3.6,104.96
4,104.93
3.9,104.93
3.6,104.95
3.3,104.97
3.1,105.07
2.7,105.04
2.7,105.09
2.6,105.13
2.5,105.11
1.9,105.18
1.7,105.21
3.2,105.03
5.5,104.7
7,104.51
8.8,104.36
9.7,104.25
10.7,104.07
10.8,104.05
9.3,104.2
4.3,104.84
2.8,105.31
1,105.08
2.4,105.21
1.6,105.13
0.8,105.25
1.9,105.22
0.6,105.31
0.6,105.36
0.5,105.37
0.1,105.39
0.3,105.41
0.4,105.43
1.3,105.23
3.9,105.07
11.1,104.1
17.3,103.41
22.5,102.39
47.7,99.3
64.3,97.35
83,95.14
93.5,93.82
78.4,95.65
40.9,99.73
3.3,105.26
-13.5,106.66
-19.4,107.85
-7.8,106.7
2.8,104.87
13.5,103.59
23.9,102.49
27.4,102.03
31.2,101.34
34.6,100.93
27.7,101.66
14.6,103.86
-3.5,105.92
-3.6,105.79
0.6,105.39
4,105.02
7.3,104.46
11.2,103.94
14.3,103.66
14.2,103.57
1.7,104.72
-3.9,105.91
-10.8,106.82
-11.3,106.77
-7.1,106.49
-0.6,105.53
2.4,105.07
1.7,105.18
1.3,105.23
1.1,105.24
1.1,105.24
1.1,105.2
1,105.26
0.9,105.29
1.3,105.23
0.7,105.27
0.7,105.3
0.6,105.31
0.5,105.32
0.5,105.32
0.6,105.31
0.6,105.32
0.6,105.32
0.7,105.32
0.7,105.32
0.6,105.32
0.6,105.33
0.6,105.32
0.3,105.35
0,105.39
-0.8,105.54
1.3,105.21
4.5,104.9
12,104.29
23.2,102.36
38.5,99.96
89.9,94.7
110,91.6
62.5,97.53
4.4,103.12
-10.5,106.65
-19.7,107.88
-17.5,108.01
-1.8,106.44
14.2,103.7
18.7,103.29
22.2,102.51
25.2,102.11
23.3,102.29
13,103.83
2.9,104.98
-1.4,105.46
-7.1,106.24
-12.1,106.9
-17.3,107.58
-19.5,107.75
-18.5,107.55
-5.5,106.48
3,105.19
10.7,104.09
17.9,103.33
21.3,102.64
28.5,101.71
31.4,101.43
31.6,101.23
23.8,102.13
14.6,103.46
11.8,103.91
10.4,104.01
9.1,104.16
2.9,105.06
0.8,105.19
1.9,105.27
6.3,104.8
19.6,102.99
26.1,102.14
21.7,102.63
17.9,103.07
16.4,103.2
14.9,103.45
6.7,103.91
3.3,104.71
2,105.07
1.6,105.14
1.2,105.19
1,105.2
0.9,105.23
0.8,105.25
0.9,105.25
1.2,105.21
1.4,105.22
2.1,105.15
2.4,105.03
2.5,105.06
1.9,105.14
2.1,105.04
2.5,105.04
2.6,105.06
1.5,105.21
1.4,105.18
1.1,105.22
1.3,105.24
2.9,105.01
5.7,104.63
8.8,104.33
10.7,104.06
1.6,104.77
-4,105.5
-4.7,105.97
-2.6,105.76
1.5,105.37
6.2,104.61
13.9,104.45
20.6,102.74
24.8,102.21
25.1,102.26
14.2,103.4
2.8,104.99
0.5,105.48
-0.3,105.26
3.5,104.97
8.7,104.41
12.8,103.69
22.9,102.43
29.2,101.85
34.8,101
38,100.46
36.6,100.78
21.8,102.25
14.6,103.31
11.8,103.78
10.9,103.95
9.8,104.07
9.4,104.1
6.8,104.42
4.3,104.78
3.6,104.85
1.3,105.15
-1,105.52
-0.8,105.44
-0.6,105.46
-0.5,105.42
-0.5,105.44
-0.4,105.4
-0.5,105.43
-2.2,105.65
-2.9,105.75
-3.8,105.87
-4.5,105.96
-4.7,105.99
-4.7,106
-4.7,105.98
-4.1,105.92
-0.4,105.5
1,105.23
0.7,105.28
0.7,105.28
1.1,105.21
1.6,105.17
4.7,104.89
8.9,104.17
14.3,103.53
19.5,102.98
22.2,102.63
24.3,102.27
25.7,102.03
25.7,101.89
13.5,103.5
-2.3,105.39
-12.8,106.96
-16.6,107.49
-15,107.27
-5.4,106.71
7.9,104.6
17.6,103.07
23.1,102.38
30.7,101.54
34.2,101.04
37.5,100.59
39.7,100.19
42.5,99.9
44.5,99.68
44.8,99.53
33.5,100.82
11.6,102.35
-8.7,106.21
-19.5,107.83
-12.9,107.15
-3.7,106.36
11.5,104.01
18.4,103.03
23.9,102.18
33.2,101.2
36.7,100.75
32.8,100.97
20.5,102.78
-6.9,106.19
-13.5,107.04
-11.4,106.88
-7,106.32
-3,105.74
5,104.68
14.3,103.65
20,102.78
26.1,101.72
34.6,101.09
37.9,100.32
41.2,99.82
44.5,99.57
46.4,99.27
38.4,99.85
11.2,102.7
-4.1,105.53
-14.6,107.04
-12.7,107.05
-8.5,106.59
1,105.15
3.4,105.08
3.8,104.82
5.4,104.5
9,104.2
10.3,104.07
10.7,103.93
5.5,104.7
-2.4,105.49
-6.5,106.1
-7.6,106.33
-6.1,106.07
1.7,105.1
6.7,104.56
10.3,104.3
16.3,103.38
19.5,102.87
19.7,102.58
2.4,104.52
-5.9,106.07
-10.5,106.73
-13.1,107.02
-13.4,107.06
-11.6,106.88
4.6,104.95
10.5,104.17
16.4,103.41
21.2,102.67
26.9,101.62
34.1,100.88
37.6,100.48
21.9,102.63
-1.3,105.16
-4.7,105.9
-2.4,105.76
2.7,104.93
13.5,103.77
19.9,102.62
34.4,100.69
44,99.67
50.4,98.83
54.1,98.42
47.2,99.05
34.2,100.58
31.4,100.69
21.7,102.29
12,103.58
6.7,104.41
5.4,104.6
4.7,104.65
5.4,104.46
8.1,104.3
10.5,103.9
14.8,103.36
17.9,103.01
20.8,102.69
20.3,102.65
2.7,104.2
-6.7,106.06
-11.4,106.79
-11.4,106.91
-25.3,108.43
-4.4,106.48
0,105.24
1,105.17
-3.8,105.43
0.6,105.18
0.8,105.22
3.5,104.87
5.6,104.6
5.9,104.53
6.9,104.44
7.2,104.38
8.1,104.29
8.2,104.23
3.1,104.61
-2.1,105.4
-5.8,106.04
-7.9,106.29
-5.1,106
-2,105.72
-0.1,105.3
4.4,104.76
10.9,103.93
16.3,103.26
21.8,102.66
25.4,101.98
29.9,101.43
32.8,101.2
35.2,100.95
36.5,100.5
37.7,100.46
38.8,100.23
37.2,100.42
31.1,101.34
19.6,102.58
13.6,103.33
13.5,103.5
16.9,102.97
17.2,103.1
17.4,103.1
15.7,103.03
13,103.58
11.9,103.7
8.5,103.91
3.6,104.78
-1.8,105.34
-7.9,106.22
-8.4,106.4
-3.2,106.01
-1,105.39
6.7,104.55
5.8,104.49
5.6,104.54
2.5,104.73
-2.4,105.56
-5.2,106
-6,106.14
-7.5,106.29
-7.2,106.25
-4.1,105.9
-2.2,105.54
-1.4,105.52
-1,105.52
-1.2,105.43
-0.7,105.37
0,105.28
0.3,105.26
0.4,105.27
0.1,105.38
0.4,105.27
-0.6,105.42
-2.7,105.67
-2.8,105.74
0.7,105.22
10.4,104.09
12.4,103.85
15.3,103.39
16.8,103.15
18.1,102.95
18.8,102.89
13.1,103.35
-2.1,105.23
-2.5,105.71
9.8,104.17
15.7,103.73
20.3,102.92
28,101.88
32.6,101.03
33.1,101
10.6,103.14
-5.4,106.03
-4.7,105.97
-0.6,105.35
9.7,103.93
21.1,102.61
32.5,101.41
43.1,99.88
48.8,98.98
30.9,99.97
12,103.74
7.7,104.67
5.4,104.52
4.7,104.71
4.1,104.76
3.6,104.88
3,104.92
2.7,104.97
1.5,105.03
0.9,105.14
0.5,105.22
